id,title,genre,duration,description
10,Avengers:_Endgame,Action,180,Epic_finale_of_the_Avengers_saga
11,Avengers:_Infinity_War,Action,160,Thanos_collects_infinity_stones
12,Inception,SciFi,148,Mind-bending_dream_heist
13,Your_name,Romance,123,Good_for_lovers
14,IT,Horror,134,Extreme_creepy
15,Conan,Detective,120,Sugoi_
16,Doraemon,Anime,123,Good_for_children
17,The_saw,Thriller,150,Not_reccommended_before_sleeping
18,Peter_Pan,Catoon,134,Very_attractive_with_children
19,X-MEN,Action,120,Another_masterpiece_of_Marvel
