row,col,status,booking_id
1,1,FREE,0
1,2,FREE,0
1,3,FREE,0
1,4,FREE,0
1,5,FREE,0
1,6,FREE,0
1,7,FREE,0
1,8,FREE,0
1,9,FREE,0
1,10,FREE,0
1,11,FREE,0
1,12,FREE,0
2,1,FREE,0
2,2,FREE,0
2,3,FREE,0
2,4,FREE,0
2,5,FREE,0
2,6,FREE,0
2,7,FREE,0
2,8,FREE,0
2,9,FREE,0
2,10,FREE,0
2,11,FREE,0
2,12,FREE,0
3,1,FREE,0
3,2,FREE,0
3,3,FREE,0
3,4,FREE,0
3,5,FREE,0
3,6,FREE,0
3,7,FREE,0
3,8,FREE,0
3,9,FREE,0
3,10,FREE,0
3,11,FREE,0
3,12,FREE,0
4,1,FREE,0
4,2,FREE,0
4,3,FREE,0
4,4,FREE,0
4,5,FREE,0
4,6,FREE,0
4,7,FREE,0
4,8,FREE,0
4,9,FREE,0
4,10,FREE,0
4,11,FREE,0
4,12,FREE,0
5,1,FREE,0
5,2,FREE,0
5,3,FREE,0
5,4,FREE,0
5,5,FREE,0
5,6,FREE,0
5,7,FREE,0
5,8,FREE,0
5,9,FREE,0
5,10,FREE,0
5,11,FREE,0
5,12,FREE,0
6,1,FREE,0
6,2,FREE,0
6,3,FREE,0
6,4,FREE,0
6,5,FREE,0
6,6,FREE,0
6,7,FREE,0
6,8,FREE,0
6,9,FREE,0
6,10,FREE,0
6,11,FREE,0
6,12,FREE,0
7,1,FREE,0
7,2,FREE,0
7,3,FREE,0
7,4,FREE,0
7,5,FREE,0
7,6,FREE,0
7,7,FREE,0
7,8,FREE,0
7,9,FREE,0
7,10,FREE,0
7,11,FREE,0
7,12,FREE,0
8,1,FREE,0
8,2,FREE,0
8,3,FREE,0
8,4,FREE,0
8,5,FREE,0
8,6,FREE,0
8,7,FREE,0
8,8,FREE,0
8,9,FREE,0
8,10,FREE,0
8,11,FREE,0
8,12,FREE,0
9,1,FREE,0
9,2,FREE,0
9,3,FREE,0
9,4,FREE,0
9,5,FREE,0
9,6,FREE,0
9,7,FREE,0
9,8,FREE,0
9,9,FREE,0
9,10,FREE,0
9,11,FREE,0
9,12,FREE,0
10,1,FREE,0
10,2,FREE,0
10,3,FREE,0
10,4,FREE,0
10,5,FREE,0
10,6,FREE,0
10,7,FREE,0
10,8,FREE,0
10,9,FREE,0
10,10,FREE,0
10,11,FREE,0
10,12,FREE,0
11,1,FREE,0
11,2,FREE,0
11,3,FREE,0
11,4,FREE,0
11,5,FREE,0
11,6,FREE,0
11,7,FREE,0
11,8,FREE,0
11,9,FREE,0
11,10,FREE,0
11,11,FREE,0
11,12,FREE,0
12,1,FREE,0
12,2,FREE,0
12,3,FREE,0
12,4,FREE,0
12,5,FREE,0
12,6,FREE,0
12,7,FREE,0
12,8,FREE,0
12,9,FREE,0
12,10,FREE,0
12,11,FREE,0
12,12,FREE,0
